TEACHER_ID,GLOBAL_ID,FIRST_NAME,LAST_NAME,FULL_NAME,EMAIL,NATIONALITY,CERTIFICATION_LEVEL,SPECIALIZATION,YEARS_EXPERIENCE,STATUS,HIRE_DATE,CREATED_DATE,LAST_MODIFIED
T011,0e4809de-b7c8-428f-96d9-88b9c02d23bf,Sven,Williams,Sven Williams,sven.williams11@6degrees.demo,South African,IB Educator Certificate,Physical Education,14,Active,2007-08-01,2026-06-07,2026-06-07
T012,a63344b3-591c-4589-aee7-c7df81f39810,Elena,Ueda,Elena Ueda,elena.ueda12@6degrees.demo,Japanese,Doctorate (EdD/PhD),Physical Education,3,Active,2022-08-01,2026-06-07,2026-06-07
T013,96daa4be-e329-4957-8485-e7977ee88471,Zainab,Kowalski,Zainab Kowalski,zainab.kowalski13@6degrees.demo,Australian,Bachelor's + PGCE,English,14,Active,2006-08-01,2026-06-07,2026-06-07
T014,1cf961bf-43ef-46e0-8f56-c1c859f9bd4b,Greta,Patel,Greta Patel,greta.patel14@6degrees.demo,Dutch,Doctorate (EdD/PhD),English,12,Active,2008-08-01,2026-06-07,2026-06-07
T015,cac49625-2980-48c5-8320-39ed6fea3fea,Sophie,Abara,Sophie Abara,sophie.abara15@6degrees.demo,Canadian,Doctorate (EdD/PhD),Mathematics,4,Active,2018-08-01,2026-06-07,2026-06-07
T016,0e5871cb-554c-4425-abd4-325bc7bd5314,Sarah,Xu,Sarah Xu,sarah.xu16@6degrees.demo,Indian,Bachelor's + PGCE,Music,10,Active,2014-08-01,2026-06-07,2026-06-07
T017,d362e120-8aec-4ba2-a419-e59bf4162987,David,Becker,David Becker,david.becker17@6degrees.demo,South African,PGCE,Design Technology,6,Active,2015-08-01,2026-06-07,2026-06-07
T018,fb710f5e-cdda-4ea3-869a-054579d597c6,James,Acharya,James Acharya,james.acharya18@6degrees.demo,French,Bachelor's + State Teaching License,Design Technology,12,Active,2009-08-01,2026-06-07,2026-06-07
T019,d161b75f-61a5-4040-b643-b5f0e680107e,James,Jensen,James Jensen,james.jensen19@6degrees.demo,American,PGCE,Drama,12,Active,2013-08-01,2026-06-07,2026-06-07
T020,af44fea9-302a-4f43-89b8-92ff7bf1cade,Wei,Rahman,Wei Rahman,wei.rahman20@6degrees.demo,Kenyan,Master's in Education,Geography,8,Active,2014-08-01,2026-06-07,2026-06-07
T021,7ce668ec-e762-4267-b947-385c506d17ab,Ahmed,Nguyen,Ahmed Nguyen,ahmed.nguyen21@6degrees.demo,Canadian,Master's in Education,Psychology,5,Active,2018-08-01,2026-06-07,2026-06-07
T022,1c6dcffd-48bf-462c-8957-114732e3aaec,Ravi,Hassan,Ravi Hassan,ravi.hassan22@6degrees.demo,Jordanian,Master's in Subject Area,Economics,15,Active,2003-08-01,2026-06-07,2026-06-07
T023,46d734f0-1ccb-47e9-a364-62d57bfffd19,Mei,Abara,Mei Abara,mei.abara23@6degrees.demo,Jordanian,Bachelor's + PGCE,Music,6,Active,2016-08-01,2026-06-07,2026-06-07
T024,56b811d8-57cb-4ca5-b800-f03376fd2985,Connor,Yamamoto,Connor Yamamoto,connor.yamamoto24@6degrees.demo,British,Master's in Subject Area,Psychology,6,Active,2016-08-01,2026-06-07,2026-06-07
T025,0de16442-6d97-415f-bbe6-1ac000ac71a4,Lucy,Ibrahim,Lucy Ibrahim,lucy.ibrahim25@6degrees.demo,American,Bachelor's + PGCE,French,11,Active,2008-08-01,2026-06-07,2026-06-07
T026,84255d4f-6492-449f-8f97-5871f0bc12cf,Tunde,Abara,Tunde Abara,tunde.abara26@6degrees.demo,French,Master's in Education,Music,3,Active,2019-08-01,2026-06-07,2026-06-07
T027,88619570-9908-42e6-b36e-be4d32b92350,Imani,Greene,Imani Greene,imani.greene27@6degrees.demo,French,Doctorate (EdD/PhD),Environmental Systems,7,Active,2016-08-01,2026-06-07,2026-06-07
T028,38f568cc-f9e9-4c4b-9f71-b85a1428b14c,Carlos,Nguyen,Carlos Nguyen,carlos.nguyen28@6degrees.demo,Australian,Doctorate (EdD/PhD),Visual Arts,8,Active,2017-08-01,2026-06-07,2026-06-07
T029,11879fdf-b97f-4217-821e-6a7cf1c34849,Priya,Goldberg,Priya Goldberg,priya.goldberg29@6degrees.demo,Dutch,Bachelor's + PGCE,Business Management,4,Active,2022-08-01,2026-06-07,2026-06-07
T030,fa10154b-c7fc-449a-9369-cd92248a8142,Olivia,Moreau,Olivia Moreau,olivia.moreau30@6degrees.demo,Indian,Doctorate (EdD/PhD),Design Technology,6,Active,2020-08-01,2026-06-07,2026-06-07
T031,cc2d4a1d-5d28-46c7-8641-f85948b702b6,Diego,Abara,Diego Abara,diego.abara31@6degrees.demo,American,Bachelor's + PGCE,Computer Science,4,Active,2020-08-01,2026-06-07,2026-06-07
T032,cd4ada70-5a70-4f9b-aa08-21147b2adae6,Liam,Walsh,Liam Walsh,liam.walsh32@6degrees.demo,Australian,Bachelor's + State Teaching License,Physics,9,Active,2016-08-01,2026-06-07,2026-06-07
T033,676b72b7-f399-436d-b51c-5c7fde92ed80,Carlos,Thompson,Carlos Thompson,carlos.thompson33@6degrees.demo,Dutch,Doctorate (EdD/PhD),French,9,Active,2017-08-01,2026-06-07,2026-06-07
T034,5262e698-feb9-443a-95aa-a4180ff8483f,Hiroshi,Underwood,Hiroshi Underwood,hiroshi.underwood34@6degrees.demo,South African,Bachelor's + PGCE,Geography,16,Active,2007-08-01,2026-06-07,2026-06-07
T035,441f86dd-916c-4cc2-8dea-11ae9a2ab010,Charlotte,Thompson,Charlotte Thompson,charlotte.thompson35@6degrees.demo,Canadian,Doctorate (EdD/PhD),Environmental Systems,18,Active,2000-08-01,2026-06-07,2026-06-07
T036,a5255c46-93dd-463f-9a8e-1ced15a76bc0,Carlos,Ueda,Carlos Ueda,carlos.ueda36@6degrees.demo,Indian,IB Educator Certificate,Biology,11,Active,2012-08-01,2026-06-07,2026-06-07
T037,99557fe6-20d4-4666-8162-1584faf4135d,Rachel,Ibrahim,Rachel Ibrahim,rachel.ibrahim37@6degrees.demo,Jordanian,IB Educator Certificate,Mathematics,7,Active,2016-08-01,2026-06-07,2026-06-07
T038,f4379124-acde-42c0-bde6-268dcba6d85b,Thomas,Vargas,Thomas Vargas,thomas.vargas38@6degrees.demo,Filipino,Bachelor's + State Teaching License,Environmental Systems,13,Active,2011-08-01,2026-06-07,2026-06-07
T039,1db54afb-f422-4eb7-a22e-97b11e3c5bec,Benjamin,Patel,Benjamin Patel,benjamin.patel39@6degrees.demo,American,PGCE,Design Technology,11,Active,2012-08-01,2026-06-07,2026-06-07
T040,3b8a4036-0feb-4acd-b384-46103478b7e8,Matthew,Thompson,Matthew Thompson,matthew.thompson40@6degrees.demo,French,Bachelor's + PGCE,Geography,3,Active,2019-08-01,2026-06-07,2026-06-07
T041,28abd188-3685-41ff-a6e3-8ef39f60fe5c,Deepa,Kowalski,Deepa Kowalski,deepa.kowalski41@6degrees.demo,Irish,Bachelor's + PGCE,Primary Homeroom,7,Active,2015-08-01,2026-06-07,2026-06-07
T042,070dcd27-b3b0-4171-906b-fceaa614f70c,Felix,Ibrahim,Felix Ibrahim,felix.ibrahim42@6degrees.demo,Filipino,Doctorate (EdD/PhD),English,18,Active,2004-08-01,2026-06-07,2026-06-07
T043,d48dec40-6700-478a-bcc2-25922a2b7992,Priya,Becker,Priya Becker,priya.becker43@6degrees.demo,German,Bachelor's + State Teaching License,Computer Science,11,Active,2013-08-01,2026-06-07,2026-06-07
T044,b1c266d1-beeb-4d34-8098-96f5c6a35d9a,Leila,Anderson,Leila Anderson,leila.anderson44@6degrees.demo,Kenyan,Master's in Subject Area,Drama,4,Active,2020-08-01,2026-06-07,2026-06-07
T045,4389ac40-e7ff-49ee-98fa-1a8c2a19b879,Sofia,Reynolds,Sofia Reynolds,sofia.reynolds45@6degrees.demo,Jordanian,Master's in Education,Physical Education,7,Active,2018-08-01,2026-06-07,2026-06-07
T046,edaf4965-8891-46e4-b522-93897004748d,Felix,Harris,Felix Harris,felix.harris46@6degrees.demo,New Zealander,Master's in Subject Area,Music,19,Active,2000-08-01,2026-06-07,2026-06-07
T047,e0d45a65-8194-4d4c-8e21-c19ad2c53788,Michael,Yamamoto,Michael Yamamoto,michael.yamamoto47@6degrees.demo,Filipino,Bachelor's + PGCE,Biology,11,Active,2010-08-01,2026-06-07,2026-06-07
T048,0348983f-0081-49b4-a166-6a6d584fa189,James,Johansson,James Johansson,james.johansson48@6degrees.demo,South African,IB Educator Certificate,Design Technology,9,Active,2013-08-01,2026-06-07,2026-06-07
T049,213c8c24-5c38-4b91-94ac-5d9588a95603,Ravi,Moreau,Ravi Moreau,ravi.moreau49@6degrees.demo,French,Master's in Education,Physical Education,9,Active,2010-08-01,2026-06-07,2026-06-07
T050,07a39d35-6f76-4a33-b213-e679cce076e3,Olivia,Zhang,Olivia Zhang,olivia.zhang50@6degrees.demo,South African,IB Educator Certificate,Music,7,Active,2015-08-01,2026-06-07,2026-06-07
T051,7f092742-f4cc-4fa0-ac7d-090c37f55403,David,Ibrahim,David Ibrahim,david.ibrahim51@6degrees.demo,German,Master's in Subject Area,Physical Education,14,Active,2006-08-01,2026-06-07,2026-06-07
T052,7503bbfd-88b0-43f6-92ad-cba1471f7cc1,Grace,Edwards,Grace Edwards,grace.edwards52@6degrees.demo,German,Bachelor's + State Teaching License,Physical Education,16,Active,2004-08-01,2026-06-07,2026-06-07
T053,56409485-f6ac-432f-b2fb-268364901ec1,Daniel,Eriksson,Daniel Eriksson,daniel.eriksson53@6degrees.demo,British,Master's in Subject Area,Design Technology,7,Active,2018-08-01,2026-06-07,2026-06-07
T054,75113b57-363c-4120-81ff-04d5cccf838c,Tariq,Acharya,Tariq Acharya,tariq.acharya54@6degrees.demo,Irish,Bachelor's + State Teaching License,Economics,12,Active,2007-08-01,2026-06-07,2026-06-07
T055,b69435d0-13e1-49d9-b05a-95552318fdfb,Anna,Xu,Anna Xu,anna.xu55@6degrees.demo,Egyptian,Doctorate (EdD/PhD),Theory of Knowledge,5,Active,2018-08-01,2026-06-07,2026-06-07
T056,cb67cf0d-2d1f-40c4-abec-e0f64a1e5724,Naomi,Bennett,Naomi Bennett,naomi.bennett56@6degrees.demo,Jordanian,Master's in Subject Area,Music,10,Active,2014-08-01,2026-06-07,2026-06-07
T057,33beabed-2959-4b39-948e-92667621af8f,Ingrid,Underwood,Ingrid Underwood,ingrid.underwood57@6degrees.demo,Australian,IB Educator Certificate,Design Technology,18,Active,2001-08-01,2026-06-07,2026-06-07
T058,8e405938-f81d-48a8-b63e-9b6a360147f4,Yuki,Tan,Yuki Tan,yuki.tan58@6degrees.demo,Kenyan,PGCE,Arabic,5,Active,2020-08-01,2026-06-07,2026-06-07
T059,b063d7a8-5bce-4dba-aa00-82fe48cce457,Felix,Williams,Felix Williams,felix.williams59@6degrees.demo,Australian,Master's in Education,Business Management,12,Active,2009-08-01,2026-06-07,2026-06-07
T060,09dff6b2-7113-4e68-8bd2-81006ef8608b,Deepa,Greene,Deepa Greene,deepa.greene60@6degrees.demo,French,PGCE,English,12,Active,2012-08-01,2026-06-07,2026-06-07
T061,c608d804-bbbc-4b67-a8c7-fa15bdd36522,Rachel,Hassan,Rachel Hassan,rachel.hassan61@6degrees.demo,Australian,Bachelor's + PGCE,Arabic,12,Active,2009-08-01,2026-06-07,2026-06-07
T062,6eefb8a4-5f23-46e8-9be3-fede8f5576f7,Patrick,Singh,Patrick Singh,patrick.singh62@6degrees.demo,British,Bachelor's + State Teaching License,Physics,12,Active,2008-08-01,2026-06-07,2026-06-07
T063,6bf6c976-d553-44ec-9a19-9b94b589904a,Daniel,Carter,Daniel Carter,daniel.carter63@6degrees.demo,American,IB Educator Certificate,Business Management,10,Active,2015-08-01,2026-06-07,2026-06-07
T064,9a032afa-c07a-4a85-910c-1c3489a1796d,Aisha,Harris,Aisha Harris,aisha.harris64@6degrees.demo,French,Master's in Subject Area,Chemistry,10,Active,2016-08-01,2026-06-07,2026-06-07
T065,ec37c4fb-05bf-4a20-8bb7-d66bd88a5468,James,Goldberg,James Goldberg,james.goldberg65@6degrees.demo,British,PGCE,Design Technology,10,Active,2010-08-01,2026-06-07,2026-06-07
T066,f87a235d-00de-479a-89e2-b3479648d570,Deepa,Williams,Deepa Williams,deepa.williams66@6degrees.demo,American,Doctorate (EdD/PhD),History,7,Active,2019-08-01,2026-06-07,2026-06-07
T067,77471659-6148-43bc-b8f9-6571de88c242,Patrick,Fernandez,Patrick Fernandez,patrick.fernandez67@6degrees.demo,South African,Doctorate (EdD/PhD),Business Management,8,Active,2017-08-01,2026-06-07,2026-06-07
T068,45e01750-25d5-4d86-9261-42bcb05648cf,Priya,Hassan,Priya Hassan,priya.hassan68@6degrees.demo,Dutch,Master's in Education,Geography,12,Active,2012-08-01,2026-06-07,2026-06-07
T069,e1a925c9-a8df-4ee0-9c04-8371c79f7e07,Charlotte,Okafor,Charlotte Okafor,charlotte.okafor69@6degrees.demo,German,Bachelor's + PGCE,Economics,15,Active,2009-08-01,2026-06-07,2026-06-07
T070,a14c3f95-2dd4-4084-9ab8-e0cf04ca18f0,Fatima,Eriksson,Fatima Eriksson,fatima.eriksson70@6degrees.demo,Japanese,PGCE,Design Technology,5,Active,2016-08-01,2026-06-07,2026-06-07
T071,d98ef0ed-dabd-43e3-b958-6063f136b6cc,Christopher,Moreau,Christopher Moreau,christopher.moreau71@6degrees.demo,Japanese,IB Educator Certificate,Spanish,10,Active,2010-08-01,2026-06-07,2026-06-07
T072,6e901da1-9a69-4322-9c71-a5ddbcaee683,Niamh,Tan,Niamh Tan,niamh.tan72@6degrees.demo,Australian,Bachelor's + State Teaching License,History,10,Active,2010-08-01,2026-06-07,2026-06-07
T073,a52b045d-8dcb-4b3c-b2c7-8c0aa5f7d959,Christopher,Foster,Christopher Foster,christopher.foster73@6degrees.demo,Filipino,Bachelor's + State Teaching License,Primary Homeroom,15,Active,2005-08-01,2026-06-07,2026-06-07
T074,a5856a66-083e-4535-9b3a-6fd42349230e,Patrick,Walsh,Patrick Walsh,patrick.walsh74@6degrees.demo,Indian,Doctorate (EdD/PhD),Biology,11,Active,2011-08-01,2026-06-07,2026-06-07
T075,114aa0e2-ea73-463f-a7f6-d3f671925bed,Sarah,Davies,Sarah Davies,sarah.davies75@6degrees.demo,Kenyan,Bachelor's + State Teaching License,Spanish,6,Active,2015-08-01,2026-06-07,2026-06-07
T076,2ac39c23-f50e-44ea-8f0e-3bbd9233d8d7,Sven,Hassan,Sven Hassan,sven.hassan76@6degrees.demo,Swedish,IB Educator Certificate,Physics,14,Active,2008-08-01,2026-06-07,2026-06-07
T077,9e7df079-e8b0-48b6-a7b4-4c47cd5772ea,Thomas,Johansson,Thomas Johansson,thomas.johansson77@6degrees.demo,South African,Bachelor's + State Teaching License,Mathematics,9,Active,2015-08-01,2026-06-07,2026-06-07
T078,6c47344e-df25-40be-9120-67c321f5437b,Christopher,Johansson,Christopher Johansson,christopher.johansson78@6degrees.demo,Indian,Master's in Subject Area,Primary Homeroom,7,Active,2017-08-01,2026-06-07,2026-06-07
T079,3e99e09b-0898-412c-82fd-098c64696bd7,Yuki,Moreau,Yuki Moreau,yuki.moreau79@6degrees.demo,Japanese,Bachelor's + State Teaching License,Spanish,12,Active,2014-08-01,2026-06-07,2026-06-07
T080,ab900675-1972-4b4e-a8bb-1b4114e4d2e5,Liam,Kowalski,Liam Kowalski,liam.kowalski80@6degrees.demo,American,PGCE,Early Years,5,Active,2018-08-01,2026-06-07,2026-06-07
T081,e7d82794-eb77-4bde-8ad9-7f9bc2807328,Fatima,Pereira,Fatima Pereira,fatima.pereira81@6degrees.demo,German,IB Educator Certificate,Biology,13,Active,2011-08-01,2026-06-07,2026-06-07
T082,83aaa662-b9e2-4e39-bc17-d2a3c41d8485,Benjamin,Vance,Benjamin Vance,benjamin.vance82@6degrees.demo,British,PGCE,History,8,Active,2013-08-01,2026-06-07,2026-06-07
T083,11adb6a4-477f-4a84-ba3f-d238cea04ae0,Hannah,Kowalski,Hannah Kowalski,hannah.kowalski83@6degrees.demo,German,Bachelor's + State Teaching License,Psychology,16,Active,2008-08-01,2026-06-07,2026-06-07
T084,13b6b814-f835-48e6-b78e-2da4d1950ef4,Daniel,Thompson,Daniel Thompson,daniel.thompson84@6degrees.demo,Australian,IB Educator Certificate,English as an Additional Language,13,Active,2008-08-01,2026-06-07,2026-06-07
T085,551f7939-e1d9-4aad-97be-e4883cd0d302,Tunde,Edwards,Tunde Edwards,tunde.edwards85@6degrees.demo,South African,Master's in Subject Area,Geography,9,Active,2016-08-01,2026-06-07,2026-06-07
T086,854438e1-c4dc-46ed-a212-36d66a22ffc9,James,Singh,James Singh,james.singh86@6degrees.demo,Dutch,PGCE,Early Years,8,Active,2014-08-01,2026-06-07,2026-06-07
T087,e9103d41-6129-4c96-9b69-33cf8aab7ea9,Sophie,Fernandez,Sophie Fernandez,sophie.fernandez87@6degrees.demo,Jordanian,Doctorate (EdD/PhD),Spanish,15,Active,2007-08-01,2026-06-07,2026-06-07
T088,0586c029-20be-4ed4-a671-4c67f044c3b8,Joseph,Ueda,Joseph Ueda,joseph.ueda88@6degrees.demo,Filipino,Doctorate (EdD/PhD),Theory of Knowledge,5,Active,2016-08-01,2026-06-07,2026-06-07
T089,5897df91-8b44-4325-8bc1-f65084896b81,Tariq,Yamamoto,Tariq Yamamoto,tariq.yamamoto89@6degrees.demo,Irish,PGCE,Mandarin,6,Active,2014-08-01,2026-06-07,2026-06-07
T090,d0c9290e-3aa4-4e68-b6e3-4635760437c9,Amara,Walsh,Amara Walsh,amara.walsh90@6degrees.demo,New Zealander,Bachelor's + PGCE,Arabic,8,Active,2018-08-01,2026-06-07,2026-06-07
T091,25732702-1b00-448c-9a76-4ead9d687df1,Fatima,Iqbal,Fatima Iqbal,fatima.iqbal91@6degrees.demo,Japanese,Master's in Education,Design Technology,8,Active,2014-08-01,2026-06-07,2026-06-07
T092,8283666e-d5ce-422b-adf2-15c733d93e29,Benjamin,Becker,Benjamin Becker,benjamin.becker92@6degrees.demo,Jordanian,PGCE,Physics,13,Active,2007-08-01,2026-06-07,2026-06-07
T093,0b4b8fa7-be75-4c7b-88f3-358229ab9dd4,Anneke,Bauer,Anneke Bauer,anneke.bauer93@6degrees.demo,Egyptian,PGCE,English as an Additional Language,15,Active,2009-08-01,2026-06-07,2026-06-07
T094,e08471ab-09c8-4949-8c24-a0e9acf66e9e,Matthew,Hassan,Matthew Hassan,matthew.hassan94@6degrees.demo,Irish,Bachelor's + State Teaching License,History,7,Active,2019-08-01,2026-06-07,2026-06-07
T095,715b889d-b678-4a26-8a9e-0aeb49cedf69,Imani,Singh,Imani Singh,imani.singh95@6degrees.demo,Canadian,Bachelor's + PGCE,History,15,Active,2007-08-01,2026-06-07,2026-06-07
T096,4ecc4c36-1d2b-4e21-b442-9e376c1dbd2b,Fatima,Kowalski,Fatima Kowalski,fatima.kowalski96@6degrees.demo,Dutch,IB Educator Certificate,History,9,Active,2013-08-01,2026-06-07,2026-06-07
T097,833bb372-c096-4fd6-bbfc-9eb61715079a,Sven,Carter,Sven Carter,sven.carter97@6degrees.demo,Dutch,Master's in Subject Area,Physics,4,Active,2021-08-01,2026-06-07,2026-06-07
T098,7cc5a4b4-e019-43c5-8b90-c9b2cff0752d,Zainab,Xu,Zainab Xu,zainab.xu98@6degrees.demo,Irish,IB Educator Certificate,Spanish,17,Active,2002-08-01,2026-06-07,2026-06-07
T099,aae95c75-fb1b-441b-b034-ccff6d20adfd,Patrick,Khan,Patrick Khan,patrick.khan99@6degrees.demo,French,PGCE,Economics,6,Active,2015-08-01,2026-06-07,2026-06-07
T100,a13f0ff5-e627-45bb-895c-56cb97881db1,Thomas,Eriksson,Thomas Eriksson,thomas.eriksson100@6degrees.demo,Jordanian,Bachelor's + PGCE,Computer Science,15,Active,2006-08-01,2026-06-07,2026-06-07
T101,558a5fda-9d10-425f-bee5-ded3fdde43f5,Rachel,Abara,Rachel Abara,rachel.abara101@6degrees.demo,Swedish,Master's in Education,Early Years,8,Active,2013-08-01,2026-06-07,2026-06-07
T102,25d47921-4cd0-43c1-af6f-b8367d92ddc0,Tariq,Costa,Tariq Costa,tariq.costa102@6degrees.demo,Egyptian,PGCE,Primary Homeroom,10,Active,2013-08-01,2026-06-07,2026-06-07
T103,a8898ba2-9791-485d-aed3-4f79ad6c6457,Sofia,Mbeki,Sofia Mbeki,sofia.mbeki103@6degrees.demo,Japanese,Master's in Subject Area,Early Years,4,Active,2018-08-01,2026-06-07,2026-06-07
T104,97143675-e492-4e0f-81e3-3bbdd202040d,Greta,Novak,Greta Novak,greta.novak104@6degrees.demo,American,Master's in Education,Business Management,5,Active,2017-08-01,2026-06-07,2026-06-07
T105,1249dca5-d5d2-4f4a-bdb4-5df82b89d8d2,David,Lindqvist,David Lindqvist,david.lindqvist105@6degrees.demo,Swedish,IB Educator Certificate,Mandarin,18,Active,2000-08-01,2026-06-07,2026-06-07
T106,7e6d1cd8-c095-4f18-ba65-e93a836611b1,Amara,Santos,Amara Santos,amara.santos106@6degrees.demo,Kenyan,Bachelor's + State Teaching License,Mathematics,14,Active,2006-08-01,2026-06-07,2026-06-07
T107,dc0a4306-e9bf-424d-9492-32dbb0ee93e0,Aisha,Costa,Aisha Costa,aisha.costa107@6degrees.demo,Filipino,Bachelor's + PGCE,Computer Science,14,Active,2010-08-01,2026-06-07,2026-06-07
T108,ac4f75d9-84b9-417b-a559-7e291122d051,Sophie,Kowalski,Sophie Kowalski,sophie.kowalski108@6degrees.demo,Egyptian,PGCE,Biology,8,Active,2012-08-01,2026-06-07,2026-06-07
T109,cac9e398-de2f-4348-a95b-ef10095b4480,Hiroshi,Ueda,Hiroshi Ueda,hiroshi.ueda109@6degrees.demo,Irish,PGCE,Biology,8,Active,2013-08-01,2026-06-07,2026-06-07
T110,a57b7e6b-008c-4ae4-b0fa-01726c9395e8,Greta,Bauer,Greta Bauer,greta.bauer110@6degrees.demo,American,IB Educator Certificate,Physics,8,Active,2013-08-01,2026-06-07,2026-06-07
T111,1fd4b466-10f4-44e5-a42d-d55ed003d6a4,Connor,Okafor,Connor Okafor,connor.okafor111@6degrees.demo,Egyptian,Master's in Subject Area,Physical Education,13,Active,2013-08-01,2026-06-07,2026-06-07
T112,d806c6b5-18d3-4016-9f34-ff474790e956,Aisha,Johansson,Aisha Johansson,aisha.johansson112@6degrees.demo,French,Bachelor's + State Teaching License,Chemistry,6,Active,2016-08-01,2026-06-07,2026-06-07
T113,4f62b592-5229-4aed-b8b9-8fe4e83cb846,Samuel,Moreau,Samuel Moreau,samuel.moreau113@6degrees.demo,Filipino,Bachelor's + State Teaching License,Business Management,4,Active,2021-08-01,2026-06-07,2026-06-07
T114,bfe62fac-aeb3-403e-a820-860b75779574,Anna,Kowalski,Anna Kowalski,anna.kowalski114@6degrees.demo,Japanese,Master's in Subject Area,Computer Science,20,Active,2004-08-01,2026-06-07,2026-06-07
T115,051b4d99-d668-45db-bc0b-b67cb90aa9aa,Anna,Davies,Anna Davies,anna.davies115@6degrees.demo,Canadian,Bachelor's + PGCE,Mandarin,17,Active,2007-08-01,2026-06-07,2026-06-07
T116,5e5662e2-2565-46c4-99a6-8a4f0274b749,Tunde,Lawson,Tunde Lawson,tunde.lawson116@6degrees.demo,Canadian,PGCE,Physics,10,Active,2010-08-01,2026-06-07,2026-06-07
T117,6a3a0c9c-9315-4d7f-b59b-7b876f8c88bf,Sofia,Rahman,Sofia Rahman,sofia.rahman117@6degrees.demo,Jordanian,Master's in Education,Mandarin,9,Active,2013-08-01,2026-06-07,2026-06-07
T118,1fc86af6-ac08-4efd-a110-76a7e39c6743,Priya,Reynolds,Priya Reynolds,priya.reynolds118@6degrees.demo,Egyptian,Bachelor's + State Teaching License,Design Technology,9,Active,2011-08-01,2026-06-07,2026-06-07
T119,e15f5a6a-ce7b-4c2f-976e-8d7418511d07,Robert,Patel,Robert Patel,robert.patel119@6degrees.demo,South African,Bachelor's + State Teaching License,Drama,9,Active,2016-08-01,2026-06-07,2026-06-07
T120,721a2ab4-122f-4584-95e8-d62e7e1389fe,Amara,Eriksson,Amara Eriksson,amara.eriksson120@6degrees.demo,French,Master's in Subject Area,Spanish,4,Active,2019-08-01,2026-06-07,2026-06-07
T121,c7fae2e8-808c-4563-845d-b1e65a638f52,Tariq,Walsh,Tariq Walsh,tariq.walsh121@6degrees.demo,Australian,Master's in Subject Area,Biology,20,Active,2005-08-01,2026-06-07,2026-06-07
T122,e1208fdf-35b4-439f-b183-f609980f1f38,Tariq,Santos,Tariq Santos,tariq.santos122@6degrees.demo,South African,Bachelor's + PGCE,Economics,17,Active,2006-08-01,2026-06-07,2026-06-07
T123,86c75a1e-c947-464c-803e-1c2fab5fd0f2,Kwame,Lawson,Kwame Lawson,kwame.lawson123@6degrees.demo,Japanese,Bachelor's + State Teaching License,Spanish,19,Active,2000-08-01,2026-06-07,2026-06-07
T124,39c739f8-3042-4bf8-93ef-22122e87571a,Olivia,Abara,Olivia Abara,olivia.abara124@6degrees.demo,British,Doctorate (EdD/PhD),Chemistry,8,Active,2013-08-01,2026-06-07,2026-06-07
T125,c1bcbcab-455e-40d3-b5be-acd5f3fbfc6c,Zainab,Okafor,Zainab Okafor,zainab.okafor125@6degrees.demo,Canadian,Bachelor's + PGCE,French,4,Active,2018-08-01,2026-06-07,2026-06-07
